working_name	Uberstrain	Name	Data_Source(Accession_No.;Sequencing_Platform;Sequencing_Library;Insert_Size;Experiment;Bases;Average_Length;Status)	Barcode	Source_Niche	Source_Type	Source_Details	Collection_Year	Collection_Month	Collection_Day	Collection_Time	Continent	Country	Region	District	City	Post_Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic_Formulas	Lab_Contact	Phage_Type	Comment	Bio_Project_ID	Project_ID	Sample_ID	Secondary_Sample_ID	Date_Entered	Release_Date	Status	Coverage	N50	Length	Species	Contig_Number(>=200_bp)	Low_Quality_Bases	Version	Assembly_Barcode	HC0_(indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900_(ceBG)	HC2000_(Super-lineage)	HC2600	HC2850_(subsp.)	HC5_or_other	Flag	aac(3)-IId 1/80 (1%)	aac(6')-Iy 80/80 (100%)	aadA2 1/80 (1%)	ant(3'')-IIa 1/80 (1%)	aph(3')-Ia 2/80 (2%)	arr-2 1/80 (1%)	blaCMY-59 3/80 (4%)	blaCTX-M-55 1/80 (1%)	blaTEM-1 64/80 (80%)	cmlA1 1/80 (1%)	dfrA14 61/80 (76%)	floR 11/80 (14%)	fosA7 80/80 (100%)	linG 1/80 (1%)	mdsA 80/80 (100%)	mdsB 80/80 (100%)	mdsC 80/80 (100%)	mdtK 80/80 (100%)	mphA 1/80 (1%)	parC p.T57S 80/80 (100%)	qacH 1/80 (1%)	qnrS1 74/80 (92%)	strA 62/80 (78%)	strB 62/80 (78%)	sul2 3/80 (4%)	sul3 64/80 (80%)	tet(A) 74/80 (92%)	Col156 1/80 (1%)	Col440I 3/80 (4%)	ColpVC 5/80 (6%)	ColRNAI 1/80 (1%)	IncB/O/K/Z 1/80 (1%)	IncHI2 1/80 (1%)	IncHI2A 1/80 (1%)	IncI(Gamma) 2/80 (2%)	IncI1(Alpha) 7/80 (9%)	IncL/M(pMU407) 1/80 (1%)	IncL/M(pOXA-48) 1/80 (1%)	IncQ1 14/80 (18%)	IncX1 74/80 (92%)	pSL483 1/80 (1%)	csgABCDEFG 80/80 (100%)	fimCDFHI 80/80 (100%)	lpfA 80/80 (100%)	lpfB 80/80 (100%)	lpfC 80/80 (100%)	lpfE 80/80 (100%)	mgtB 80/80 (100%)	mgtC 80/80 (100%)	mig-14 80/80 (100%)	misL 79/80 (99%)	papB 2/80 (2%)	papI 2/80 (2%)	sinH 80/80 (100%)	C63PI  80/80 (100%)	SPI-1  80/80 (100%)	SPI-2  80/80 (100%)	SPI-3  80/80 (100%)	SPI-4  80/80 (100%)	SPI-5  80/80 (100%)	SPI-8  79/80 (99%)	SPI-9  80/80 (100%)
SAL_BA7932AA_AS	SAL_CA0055AA	40256	SRR1968955;ILLUMINA;Paired;;SRX990792;155419050;95	SAL_CA0055AA	Human	Human	Homo sapiens; human	2014	8	NA	NA	Europe	United Kingdom	England	NA	NA	NA	NA	NA	Agona	I	NA	NA	Gastrointestinal Bacteria Reference Unit, Public Health England	NA	NA	PRJNA248792	SRP042645	SAMN03479053	SRS905558	2015-08-27	2015-04-12	Assembled	32.54	74656	4776816	Salmonella enterica;99.15%	119	7644	2.2	SAL_BA7932AA_AS	29948	29948	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_BA8052AA_AS	SAL_CA4227AA	13381	SRR1965714;ILLUMINA;Paired;;SRX987564;228534336;96	SAL_CA4227AA	Human	Human	Homo sapiens; human	2014	5	NA	NA	Europe	United Kingdom	England	NA	NA	NA	NA	NA	Agona	I	NA	NA	Gastrointestinal Bacteria Reference Unit, Public Health England	NA	NA	PRJNA248792	SRP042645	SAMN03475822	SRS902359	2015-08-27	2015-04-12	Assembled	47.11	120189	4851097	Salmonella enterica;94.19%	82	2682	2.2	SAL_BA8052AA_AS	26713	7255	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_KA0676AA_AS	SAL_EA7151AA	SL483	SRR3049639;ILLUMINA;Paired;;SRX1498596;196897288;94	SAL_EA7151AA	Human	Human	Homo sapiens; human	NA	NA	NA	NA	Europe	United Kingdom	England	Bournemouth, Christchurch and Poole	NA	NA	50.7413314	-1.8330859	Agona	NA	NA	NA	Public Health England	NA	NA	PRJNA248792	SRP042645	SAMN04363922	SRS1220242	2015-12-23	2015-12-22	Assembled	41	149327	4759644	Salmonella enterica;95.05%	84	2885	3.32	SAL_KA0676AA_AS	7676	7255	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_KA0984AA_AS	SAL_EA7459AA	21798	SRR3049312;ILLUMINA;Paired;;SRX1498269;205009694;97	SAL_EA7459AA	Human	Human	Homo sapiens; human	NA	NA	NA	NA	Europe	United Kingdom	England	Bournemouth, Christchurch and Poole	NA	NA	50.7413314	-1.8330859	Agona	I	NA	NA	Public Health England	NA	NA	PRJNA248792	SRP042645	SAMN04363606	SRS1219915	2015-12-23	2015-12-22	Assembled	42	153017	4780918	Salmonella enterica;97.11%	71	2436	3.32	SAL_KA0984AA_AS	7389	7389	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_KA1119AA_AS	SAL_EA7594AA	97249	SRR3049175;ILLUMINA;Paired;;SRX1498130;607309758;99	SAL_EA7594AA	Human	Human	Homo sapiens; human	NA	NA	NA	NA	Europe	United Kingdom	England	Bournemouth, Christchurch and Poole	NA	NA	50.7413314	-1.8330859	Agona	I	NA	NA	Public Health England	NA	NA	PRJNA248792	SRP042645	SAMN04363415	SRS1219790	2015-12-23	2015-12-22	Assembled	126	304415	4784569	Salmonella enterica;92.85%	66	1258	3.32	SAL_KA1119AA_AS	7255	7255	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/United_Kindgom.png	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_KA4888AA_AS	SAL_FA1103AA	PNUSAS001578	SRR3185118;ILLUMINA;Paired;;SRX1598381;555097098;239	SAL_FA1103AA	Human	Human	Age: 5-9; stool	2016	1	NA	NA	North America	United States	NA	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	PulseNet Next Generation Subtyping Methods Unit	NA	NA	PRJNA230403	SRP040281	SAMN04490798	SRS1308361	2016-02-24	2016-02-24	Assembled	111	309160	4976142	Salmonella enterica;88.89%	83	6247	3.32	SAL_KA4888AA_AS	4344	4344	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/USA.png	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_KA5244AA_AS	SAL_FA1284AA	1601F29331	traces-0vctKDb;ILLUMINA;Paired;;NA;580772404;241	SAL_FA1284AA	Human	Human	NA	2016	1	25	NA	Europe	Denmark	NA	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	Mia Torpdahl	NA	NA	NA	NA	NA	NA	2016-03-02	2016-08-31	Assembled	121	268796	4770875	Salmonella enterica;98.15%	65	7341	3.32	SAL_KA5244AA_AS	4181	4181	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Denmark.jpg	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_RA1599AA_AS	SAL_GA6910AA	A27	traces-0ePAkgz;ILLUMINA;Paired;;NA;588456576;144,traces-0bmvPJZ;ILLUMINA;Paired;;NA;563917404;138	SAL_GA6910AA	Human	Laboratory	NA	2016	3	1	NA	Oceania	Australia	New South Wales	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology	NA	NA	NA	NA	NA	NA	2017-03-28	2017-09-30	Assembled	123	193842	4765741	Salmonella enterica;92.31%	77	2002	3.61	SAL_RA1599AA_AS	48269	48269	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Australia.jpg	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_SA1324AA_AS	SAL_GA6926AA	A44	traces-0NSKbGw;ILLUMINA;Paired;;NA;;,traces-0HfQGTs;ILLUMINA;Paired;;NA;920907078;147,traces-0vcuwgY;ILLUMINA;Paired;;NA;625214868;141	SAL_GA6926AA	Human	Laboratory	NA	2016	3	1	NA	Oceania	Australia	New South Wales	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology	NA	NA	NA	NA	NA	NA	2017-03-28	2017-09-30	Assembled	188	298599	4884830	Salmonella enterica;94.11%	67	1622	3.61	SAL_SA1324AA_AS	48302	29948	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Australia.jpg	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
SAL_SA1344AA_AS	SAL_GA6945AA	A64	traces-0uFLpGX;ILLUMINA;Paired;;NA;;,traces-0sbfbjO;ILLUMINA;Paired;;NA;405973440;146,traces-0wBDtRl;ILLUMINA;Paired;;NA;405973440;146	SAL_GA6945AA	Human	Laboratory	NA	2016	3	1	NA	Oceania	Australia	New South Wales	NA	NA	NA	NA	NA	Agona (Predicted)	NA	NA	NA	Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology	NA	NA	NA	NA	NA	NA	2017-03-28	2017-09-30	Assembled	85	307979	4765010	Salmonella enterica;96.43%	68	1508	3.61	SAL_SA1344AA_AS	48291	7255	4181	477	419	29	29	28	28	28	28	28	2	HC5-4181	https://raw.githubusercontent.com/maxlcummins/SG17-135/resubmission/flags/Australia.jpg	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
